,Location,Times,Tweets
370,Washington,2018-03-02 20:30:00,3
371,Washington,2018-03-02 20:45:00,8
372,Washington,2018-03-02 21:00:00,4
373,Washington,2018-03-02 21:15:00,3
374,Washington,2018-03-02 21:30:00,4
375,Washington,2018-03-02 21:45:00,7
376,Washington,2018-03-02 22:00:00,7
377,Washington,2018-03-02 22:15:00,10
378,Washington,2018-03-02 22:30:00,5
379,Washington,2018-03-02 22:45:00,8
380,Washington,2018-03-02 23:00:00,8
381,Washington,2018-03-02 23:15:00,8
382,Washington,2018-03-02 23:30:00,3
383,Washington,2018-03-02 23:45:00,12
384,Washington,2018-03-03 00:00:00,0
385,Oregon,2018-02-27 00:00:00,6
386,Oregon,2018-02-27 00:15:00,2
387,Oregon,2018-02-27 00:30:00,3
388,Oregon,2018-02-27 00:45:00,3
389,Oregon,2018-02-27 01:00:00,2
390,Oregon,2018-02-27 01:15:00,4
391,Oregon,2018-02-27 01:30:00,4
392,Oregon,2018-02-27 01:45:00,3
393,Oregon,2018-02-27 02:00:00,2
394,Oregon,2018-02-27 02:15:00,1
395,Oregon,2018-02-27 02:30:00,1
396,Oregon,2018-02-27 02:45:00,0
397,Oregon,2018-02-27 03:00:00,1
398,Oregon,2018-02-27 03:15:00,0
399,Oregon,2018-02-27 03:30:00,0
400,Oregon,2018-02-27 03:45:00,0
401,Oregon,2018-02-27 04:00:00,0
402,Oregon,2018-02-27 04:15:00,0
403,Oregon,2018-02-27 04:30:00,0
404,Oregon,2018-02-27 04:45:00,0
405,Oregon,2018-02-27 05:00:00,0
406,Oregon,2018-02-27 05:15:00,0
407,Oregon,2018-02-27 05:30:00,0
408,Oregon,2018-02-27 05:45:00,1
409,Oregon,2018-02-27 06:00:00,1
410,Oregon,2018-02-27 06:15:00,1
411,Oregon,2018-02-27 06:30:00,1
412,Oregon,2018-02-27 06:45:00,0
413,Oregon,2018-02-27 07:00:00,0
414,Oregon,2018-02-27 07:15:00,1
415,Oregon,2018-02-27 07:30:00,2
416,Oregon,2018-02-27 07:45:00,1
417,Oregon,2018-02-27 08:00:00,1
418,Oregon,2018-02-27 08:15:00,4
419,Oregon,2018-02-27 08:30:00,0
420,Oregon,2018-02-27 08:45:00,2
421,Oregon,2018-02-27 09:00:00,0
422,Oregon,2018-02-27 09:15:00,8
423,Oregon,2018-02-27 09:30:00,6
424,Oregon,2018-02-27 09:45:00,4
425,Oregon,2018-02-27 10:00:00,3
426,Oregon,2018-02-27 10:15:00,5
427,Oregon,2018-02-27 10:30:00,7
428,Oregon,2018-02-27 10:45:00,6
429,Oregon,2018-02-27 11:00:00,10
430,Oregon,2018-02-27 11:15:00,10
431,Oregon,2018-02-27 11:30:00,6
432,Oregon,2018-02-27 11:45:00,5
433,Oregon,2018-02-27 12:00:00,1
434,Oregon,2018-02-27 12:15:00,8
435,Oregon,2018-02-27 12:30:00,4
436,Oregon,2018-02-27 12:45:00,2
437,Oregon,2018-02-27 13:00:00,9
438,Oregon,2018-02-27 13:15:00,11
439,Oregon,2018-02-27 13:30:00,5
440,Oregon,2018-02-27 13:45:00,10
441,Oregon,2018-02-27 14:00:00,2
442,Oregon,2018-02-27 14:15:00,3
443,Oregon,2018-02-27 14:30:00,7
444,Oregon,2018-02-27 14:45:00,5
445,Oregon,2018-02-27 15:00:00,7
446,Oregon,2018-02-27 15:15:00,6
447,Oregon,2018-02-27 15:30:00,9
448,Oregon,2018-02-27 15:45:00,6
449,Oregon,2018-02-27 16:00:00,4
450,Oregon,2018-02-27 16:15:00,7
451,Oregon,2018-02-27 16:30:00,22
452,Oregon,2018-02-27 16:45:00,4
453,Oregon,2018-02-27 17:00:00,6
454,Oregon,2018-02-27 17:15:00,4
455,Oregon,2018-02-27 17:30:00,7
456,Oregon,2018-02-27 17:45:00,21
457,Oregon,2018-02-27 18:00:00,5
458,Oregon,2018-02-27 18:15:00,3
459,Oregon,2018-02-27 18:30:00,13
460,Oregon,2018-02-27 18:45:00,11
461,Oregon,2018-02-27 19:00:00,2
462,Oregon,2018-02-27 19:15:00,4
